1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,-47169,-223,13116,1859,-17987,7467,478,0,6989,78101,-1647,-107090,-20765,25450,-4685
1997:Q1,-40220,-82,44940,9176,-15505,-9755,-5182,0,-4573,-55823,-6133,-7255,215,1643,-1858
1997:Q2,-48742,-78,1694,-2973,27139,4815,2484,0,2331,-39493,27462,-49093,-18215,5253,12962
1997:Q3,-16489,185,21281,-14243,5742,-8821,-483,0,-8338,-900,9625,-35084,5725,-2675,-3051
1997:Q4,2411,-142,38294,-13009,38556,7182,496,0,6686,64017,-620,-129541,-2326,7365,-5039
1998:Q1,16302,-41,-14827,6417,7075,-6722,-1935,0,-4787,-27625,-8146,46159,14011,-12387,-1624
1998:Q2,-56838,-66,28212,4457,-23119,-2750,-5463,0,2713,-37109,24635,-64587,13488,-26982,13494
1998:Q3,-95961,220,24184,-556,51799,-4915,3537,0,-8452,-24626,7973,-181995,31954,-28610,-3344
1998:Q4,-45791,-280,-43505,-19040,-37015,13856,6424,0,7432,64197,2906,-19584,-7327,12750,-5423
1999:Q1,61804,-368,10603,14868,45689,-8376,-4104,0,-4273,-41721,-20199,34424,26884,-23186,-3699
1999:Q2,102050,151,16051,-20,-1912,-1347,-4540,0,3193,-16053,23552,80717,910,-15617,14707
1999:Q3,44459,47,-310,-3708,585,-6692,917,0,-7608,-361,10839,33342,10717,-8214,-2503
1999:Q4,94349,-557,7292,-21281,-108765,8189,302,0,7888,72185,2381,148397,-13493,18705,-5212
2000:Q1,179778,-450,45406,11232,141687,-326,3775,0,-4101,-36157,-10677,-13015,42078,-38495,-3583
2000:Q2,-112845,-178,10500,4062,19178,4835,1577,0,3258,-27718,27777,-153175,1874,-18172,16298
2000:Q3,-65501,225,-4760,-5915,42770,-9443,-1922,0,-7521,-7750,20028,-143958,43302,-39791,-3511
2000:Q4,-393421,-833,31422,8916,-49178,13589,5544,0,8045,69093,10772,-480626,3424,2227,-5651
2001:Q1,-123014,-230,23877,-5524,-17703,-32836,-28663,0,-4174,-53492,-7845,-82840,53580,-49159,-4421
2001:Q2,-127379,-73,-33930,-3590,29740,361,-2762,0,3123,-31674,17702,-127997,22083,-37616,15533
2001:Q3,-191502,271,926,8089,14288,-8662,-1167,0,-7495,5126,29111,-282299,41648,-39845,-1802
2001:Q4,-62828,-60,-7531,-1937,-47334,641,-7454,0,8095,80439,-17561,-62186,-7298,12851,-5553
2002:Q1,109038,-379,-8024,12198,34626,-1346,2960,0,-4305,-34660,6948,29014,70662,-73749,3088
2002:Q2,120520,-215,7184,-9672,95874,3224,53,0,3171,-21576,29634,-4747,20815,-33582,12767
