1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,2504641,0,143139,464753,0,171259,76955,13112,46375,34817,56886,2279,51066,3541,673031,50571,0,133782,759971,51249,676307,301637,124396,138912,47819,63541
1971:Q3,2535011,0,145069,478313,0,177001,79217,13937,46564,37283,55223,1507,50209,3507,658628,49798,0,135412,781999,53568,695286,309668,129533,143465,48530,64091
1971:Q4,2631964,0,150668,493887,0,173123,75100,14615,45970,37438,56525,3597,49216,3712,707302,53006,0,137050,805219,55184,717580,316620,134208,149243,49846,67664
1972:Q1,2725184,0,149467,514555,0,175017,77823,12831,46559,37804,55302,2096,49835,3371,748293,55084,0,138719,830991,57756,731106,323810,137611,148847,52649,68189
1972:Q2,2768945,0,149811,532977,0,173125,76289,11668,46909,38259,56359,2326,50626,3407,744562,54180,0,140425,857232,60274,762462,333473,144964,156222,54752,73050
1972:Q3,2843486,0,154051,553094,0,174552,77550,10943,47181,38878,55092,612,51109,3371,764016,53712,0,142160,883637,63172,786501,344759,150890,161529,55662,73661
1972:Q4,3020942,0,163090,568636,0,173644,78457,8898,47684,38605,57599,2709,51260,3630,881667,56383,0,143924,911037,64962,815607,354615,158507,168757,56100,77628
1973:Q1,2988999,0,161041,592228,0,180037,82031,8537,50607,38862,54601,309,51001,3291,811957,50224,0,145728,924593,68590,842475,363074,163242,171528,57581,87049
1973:Q2,2956993,0,164852,607580,0,181683,83013,8472,51521,38677,56304,1416,51514,3374,744190,45290,0,147582,938527,70985,877021,374782,167511,180398,57242,97087
1973:Q3,3046553,0,165586,620349,0,192537,88240,9481,54174,40642,54853,648,50937,3268,785240,49090,0,149445,956046,73407,905534,386342,166106,186695,57743,108647
1973:Q4,2945571,0,176003,630263,0,194722,89663,8332,55136,41591,57526,3573,50516,3437,647014,43695,0,151271,969401,75676,927992,396316,162670,192980,57672,118355
1974:Q1,2961414,0,172229,652158,263,202999,97177,5738,56629,43455,55726,1080,51525,3121,612227,41490,0,153053,992808,78461,944966,404299,167537,190460,58534,124136
1974:Q2,2929427,0,171326,669894,570,203217,92047,6970,57899,46301,58657,3135,52356,3166,537702,37557,0,154785,1014934,80785,980556,415158,175441,196777,59938,133241
1974:Q3,2826766,0,173272,676329,1386,219118,96474,11510,62394,48740,59440,3044,53356,3040,395999,29123,0,156539,1033504,82056,1011129,425363,183853,201241,61706,138966
1974:Q4,2884841,0,181277,687280,2379,228684,97491,13669,62164,55360,60503,3433,53987,3083,391559,31813,0,158390,1060356,82600,1032148,432009,189936,201926,62895,145383
1975:Q1,3029704,0,168610,714950,3620,228149,95100,11529,62603,58917,53407,2782,47980,2645,485022,37436,0,161437,1092874,84199,1038417,436823,194272,195912,64173,147237
1975:Q2,3173678,0,178589,733661,3661,227054,97916,8769,63059,57310,56548,3586,50303,2659,556439,42283,0,163786,1126023,85634,1060280,447576,198263,195933,66508,151999
1975:Q3,3159452,0,181029,748950,3708,241547,106854,7681,65177,61835,56716,1519,52665,2532,485972,36835,0,165845,1151659,87191,1085715,459486,200962,201183,68223,155861
1975:Q4,3273606,0,183182,769082,3645,253981,113061,7584,66809,66527,61123,4722,53733,2668,523768,38749,0,168615,1182138,89323,1115035,471020,204020,206996,70134,162865
1976:Q1,3414400,0,178881,797841,3557,252342,112035,6963,69757,63587,61818,4797,54682,2339,609921,42619,0,170603,1205619,91199,1133195,482963,209047,204908,73059,163218
1976:Q2,3491996,0,184962,821258,3341,256772,109255,7584,73874,66059,61820,3881,55561,2378,628914,42441,0,173063,1225423,94002,1169007,497634,212838,213148,76302,169085
1976:Q3,3556468,0,187523,841825,3322,261804,109657,6993,74962,70192,62090,3165,56669,2256,639991,40957,0,175284,1246444,97228,1202974,515251,216920,220688,78898,171216
1976:Q4,3647838,0,195979,861934,3099,266790,104319,11611,72859,78001,66895,7424,56990,2481,663960,41436,0,177810,1268980,100955,1239542,531432,221211,228961,80849,177088
1977:Q1,3653564,0,196382,897598,2939,268891,108896,7418,73367,79210,61541,1431,57948,2162,608843,37826,0,180110,1295455,103979,1268984,546488,226742,229155,84265,182334
1977:Q2,3729032,0,200317,918457,3017,265994,101437,7507,77953,79097,63339,2271,59010,2058,622009,40651,0,182542,1324260,108446,1320977,571489,232953,242048,87361,187127
1977:Q3,3771590,0,208959,944779,2956,270222,105841,7832,76821,79728,61818,-282,60254,1846,591459,40413,0,184977,1352772,113235,1370322,598540,238615,252953,89051,191163
1977:Q4,3814943,0,213619,965773,3197,276489,107261,8260,78817,82151,68228,5344,60887,1997,558936,40355,0,187791,1382302,118253,1418475,622779,244524,264892,91113,195168
1978:Q1,3859028,0,214115,995629,4734,284776,111230,8452,84708,80386,65816,1906,62427,1483,525618,39400,0,190447,1415193,123300,1454331,641067,250771,266971,95663,199859
1978:Q2,3976155,0,221663,1017338,6050,286202,106883,8340,92098,78881,70526,3598,65581,1347,558997,41664,0,193515,1451956,128244,1523045,669239,258192,284526,102411,208676
1978:Q3,4105910,0,229599,1042270,7215,294084,112736,8388,97663,75297,75163,5066,68894,1203,594621,43683,0,196379,1489718,133178,1588701,701677,265562,298022,108012,215427
1978:Q4,4158728,0,233564,1061527,8928,303692,112278,9657,104168,77589,83164,11147,70559,1458,567785,41080,0,199349,1521778,137861,1648368,732331,273814,311305,107647,223270
1979:Q1,4273276,0,228176,1084344,15693,316684,119246,11425,109320,76693,79004,4274,73778,952,601869,42476,0,201981,1560261,142788,1693126,757019,281149,313819,110291,230847
1979:Q2,4378042,0,240525,1096602,22681,327489,122768,11300,116924,76497,85339,6651,77837,851,613708,43252,0,204874,1595727,147845,1769121,788579,294540,327319,119232,239450
1979:Q3,4521267,0,254468,1119177,29822,334607,129975,12373,121212,71047,90812,8476,81615,721,652193,44837,0,207470,1635416,152465,1843817,822265,307667,341528,123814,248543
1979:Q4,4675412,0,256149,1133771,39459,373629,158905,12405,123569,78750,97894,14399,82612,883,684584,38388,0,210280,1684319,156939,1911879,849968,320469,354616,126093,260733
1980:Q1,4696160,0,247541,1157690,54525,378783,164940,18949,123903,70991,100925,8741,91775,409,625344,39456,0,212738,1720020,159138,1962989,880320,332843,349662,133395,266769
1980:Q2,4893672,0,252641,1177407,69928,375671,159934,17399,126511,71827,105999,12065,93709,225,715635,44130,0,215426,1775914,160921,2002517,896823,347589,345637,138149,274319
1980:Q3,5116696,0,272199,1208735,70003,381545,163488,16719,128655,72683,114361,16096,98115,150,806770,49129,0,217843,1832462,163649,2057370,925899,359152,350336,142970,279012
1980:Q4,5339202,0,276640,1257912,64366,394010,175706,18565,129980,69759,121843,22221,99472,150,896593,52060,0,220528,1884123,171127,2117792,952035,369013,358044,151033,287667
1981:Q1,5436231,0,280101,1261107,98522,389271,167660,14183,142831,64597,117986,14626,103285,75,899147,52359,0,222820,1936656,178262,2145287,967221,379937,353902,154604,289623
1981:Q2,5524204,0,288570,1279762,108564,393025,162355,14166,150846,65658,124480,13063,111367,50,879552,53153,0,225469,1986110,185519,2202167,990980,389117,361610,161739,298721
1981:Q3,5510695,0,299155,1301405,137398,410089,172892,13443,159179,64575,129875,12289,117536,50,734949,48742,0,227675,2029134,192273,2248788,1008827,397475,371928,165111,305448
