1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,3522119,2737092,589199,195828,6997,156031,32800,3522119,941838,975778,541865,422646,585853,54139,298,15112,14409,249,47,407,2812,2232,182,15,235,0,5358,2212,1834,23851,305,403464,258100
1972:Q4,3622211,2833979,588726,199506,7277,159404,32825,3622211,980457,996493,561571,424734,603135,55821,308,15557,14835,253,48,421,2880,2292,191,16,267,0,5461,2313,1922,24616,365,409500,266800
1973:Q1,3720132,2914636,601227,204269,7617,163348,33304,3720132,1006133,1021367,576042,435535,623444,57611,318,16127,15380,262,49,436,2967,2372,196,15,249,0,5671,2398,2007,25289,398,421431,282800
1973:Q2,3846826,3016521,620778,209527,7964,168028,33535,3846826,1043174,1053203,596255,449578,644767,59849,331,16829,16051,271,51,456,3077,2469,204,15,233,0,5927,2505,2107,26151,446,434273,300100
1973:Q3,3990756,3137160,638127,215469,8316,173411,33742,3990756,1089988,1089482,621136,461882,665888,62380,345,17598,16787,281,53,477,3198,2578,213,15,218,0,6203,2625,2214,27173,485,445192,310600
1973:Q4,4111119,3239247,649670,222202,8692,179540,33970,4111119,1121114,1122549,639051,470817,692867,64721,359,18303,17463,290,54,496,3311,2681,222,15,202,0,6455,2738,2313,28121,514,454237,322800
1974:Q1,4261880,3359918,672365,229597,9101,185922,34574,4261880,1153435,1165560,659398,485192,730848,67447,374,19161,18287,300,58,516,3443,2801,226,17,206,0,6850,2834,2391,29145,551,464819,335100
1974:Q2,4452836,3517639,698359,236838,9627,192022,35189,4452836,1188972,1225526,684042,498464,784537,71295,395,20331,19411,313,63,544,3630,2967,234,20,213,0,7356,2977,2503,30673,594,482477,348100
1974:Q3,4684745,3700394,740423,243928,10232,197754,35942,4684745,1234645,1296410,715079,521529,841279,75803,418,21730,20755,330,67,578,3853,3162,244,23,222,0,7944,3143,2646,32418,643,507100,372700
1974:Q4,4888402,3854764,782838,250800,10887,203107,36806,4888402,1274197,1369406,744944,539658,879746,80451,443,23205,22169,349,73,614,4087,3363,253,27,232,0,8565,3313,2803,34163,666,525757,382300
