1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q2,812186,68845,252397,488284,2660,812186,565,20048,13151,8811,6933,435441,38545,2090,6752,214024,17651,6596,24,9254,26932,5369
1990:Q3,815867,70586,256246,486221,2814,815867,620,18822,12552,13032,6985,431293,41326,2269,6849,214585,17968,6768,24,9490,27930,5354
1990:Q4,817591,72852,257906,483932,2901,817591,666,17739,11947,13426,7111,427371,45534,2478,6885,215121,18178,7492,24,10149,28481,4989
1991:Q1,825099,75032,264826,482294,2948,825099,696,18685,11054,17403,7185,426521,49129,2637,6859,216768,17076,7867,23,10667,27645,4884
1991:Q2,829370,77227,266187,482953,3003,829370,704,18717,10395,20610,7396,423040,51698,2869,6766,219204,15608,7767,21,11603,28141,4831
1991:Q3,817447,79424,259693,475263,3067,817447,728,20633,8878,20484,7356,411660,52546,3076,6640,218179,14595,7934,20,11798,28221,4699
1991:Q4,804420,81608,251653,467947,3211,804420,806,21936,8227,21175,7662,404588,54299,3169,6511,209496,13306,8323,19,12586,27851,4466
1992:Q1,795227,83275,246362,462235,3355,795227,826,22122,7895,22582,7728,395757,54208,3170,6388,207709,12588,8161,18,13635,28072,4368
1992:Q2,789534,84943,241631,459590,3369,789534,846,22331,7568,21273,7950,391625,54391,3080,6267,204670,11734,8940,18,15464,28668,4708
1992:Q3,777806,86610,232896,454858,3443,777806,866,22824,7247,18428,7512,385439,53517,2988,6113,200177,11258,8521,18,19128,29260,4511
1992:Q4,759930,88277,213727,454338,3588,759930,886,23479,6866,14622,7530,379308,51605,2994,5889,194353,10619,8875,17,19074,29060,4753
1993:Q1,752788,90798,205427,452744,3819,752788,914,22901,6418,13073,7543,376142,50235,2947,5588,193410,10697,8234,16,21142,28908,4620
1993:Q2,743703,93317,197157,449185,4045,743703,942,22237,6276,11525,7845,372693,48999,2945,5192,191507,10460,6973,15,23219,28307,4568
1993:Q3,737926,95838,193440,443569,5079,737926,971,21530,6177,10889,7464,372982,47801,2980,4792,187730,10821,7565,14,23584,28094,4532
