1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,707051,6940,22568,11011,153260,3608,62201,16206,60783,10462,497374,146427,5352,266712,78883,2594,0,0,658,12646,667828,14148,170559,417227,15278,7466,5406,2060,9745,1143,78,32184,5000,0,27184,300,0,ND
1970:Q2,723570,7090,21991,11572,157778,3859,61518,16862,63539,12000,508949,152395,5973,269675,80906,2160,0,0,698,13332,684003,13763,177697,429357,15746,8126,6033,2093,10236,857,79,28142,6000,0,22142,304,0,ND
1970:Q3,745757,7260,23938,14130,168100,4569,66726,18529,66321,11955,518079,155114,5848,274379,82738,2587,0,0,741,10922,707997,12915,178285,449677,16179,8016,5906,2110,10525,1044,80,31276,8000,0,23276,308,0,ND
1970:Q4,776934,7047,24150,16584,182611,4937,72619,21622,70524,12909,531258,161869,7058,279276,83055,2889,0,0,786,11609,739553,10371,192844,468066,16722,9264,7129,2135,10615,1062,79,30530,10000,0,20530,305,0,ND
1971:Q1,795872,7230,25932,17295,192593,5358,73525,23197,74896,15617,533060,157893,7173,284587,83407,3265,0,0,835,15662,758627,6677,179839,497652,18603,9795,7245,2550,9690,1315,80,34976,11000,0,23976,309,0,ND
1971:Q2,821579,7634,24550,16941,198897,5067,72217,26635,78160,16818,553288,164977,7645,293518,87148,3287,0,0,886,16096,784056,5389,192148,515222,20520,10359,7721,2638,7241,860,81,32236,12000,0,20236,314,0,ND
1971:Q3,842517,8100,25424,19012,201032,5236,69615,27754,80275,18152,568909,165434,8148,304653,90674,3395,0,0,940,15705,805974,3805,189570,530321,22511,11004,8229,2775,7637,993,83,40050,14000,0,26050,318,0,ND
1971:Q4,879662,7541,27788,21079,212494,5449,75389,29592,83351,18713,589117,172894,7889,314561,93773,3585,0,0,998,17060,841153,3128,206401,549909,24732,10958,7968,2990,7936,1080,90,36919,15000,0,21919,344,0,ND
1972:Q1,900995,8050,28471,22378,217590,4887,73559,31882,86017,21245,601421,173818,7985,324428,95190,3923,0,0,1059,18103,863123,-697,196046,574870,28371,11551,8065,3486,5992,1054,91,45845,16000,0,29845,349,0,ND
1972:Q2,931198,6799,27482,22316,219351,4709,70550,33585,87827,22680,629679,183464,7069,338354,100792,4020,0,0,1124,20427,893741,1306,199787,595775,31366,10763,7140,3623,6075,749,92,47828,17000,0,30828,353,0,ND
