1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q2,3561622,13531,815,55882,3287,606873,26297,161290,215348,851,203087,22796,1142658,202375,1513405,1436385,77020,3608389
2003:Q3,3612559,13335,1003,45105,2653,607667,21226,145602,227955,2701,210183,24904,1185568,215528,1516796,1438134,78662,3658156
2003:Q4,3662167,17579,1458,52663,3098,649747,24782,141252,255699,4552,223462,17662,1254192,236937,1428831,1344536,84295,3708280
2004:Q1,3765747,22554,1958,63239,3720,698312,29759,143710,292533,6403,225907,14643,1232634,242702,1485985,1402058,83927,3809911
2004:Q2,3868170,19657,1984,41304,2430,712039,19437,134943,314380,8253,235026,17755,1295749,268289,1508963,1416533,92430,3911886
2004:Q3,3974403,20715,1945,45854,2719,685053,22063,143825,293540,6592,219033,14779,1257819,243741,1701778,1616236,85542,4014805
2004:Q4,4072729,17527,1477,41539,2484,749930,20437,153823,275299,4930,295441,14238,1471030,263902,1510602,1416936,93666,4118059
2005:Q1,4133089,16917,1270,42578,2568,746021,21421,166952,264351,3268,290029,11888,1473782,255006,1583059,1489714,93345,4176612
2005:Q2,4194143,17480,1181,45984,2797,706993,23658,171517,233454,1607,276757,11653,1491598,257687,1658770,1561004,97766,4236143
2005:Q3,4248989,15516,1299,41421,2541,706434,21794,157240,233987,1676,291737,9579,1505127,254233,1712839,1615582,97257,4296711
2005:Q4,4303731,17902,1710,48184,2983,740044,25929,162596,261243,1746,288530,11322,1530000,256168,1695418,1596432,98986,4357751
2006:Q1,4359102,17113,1907,46673,2915,729410,25690,151826,266551,1816,283527,12105,1696388,279731,1572860,1463278,109582,4421250
2006:Q2,4419164,16516,2117,45667,2879,747230,25713,148982,282646,1885,288004,13254,1650253,263921,1677327,1573452,103875,4485948
2006:Q3,4475917,16261,2127,48296,3073,765614,27819,153858,275797,1785,306355,15435,1674690,268945,1681476,1576348,105128,4551917
2006:Q4,4532538,16276,2171,51605,3314,776414,30412,157228,266089,1685,321000,14428,1734141,281727,1652462,1543042,109420,4618563
2007:Q1,4591013,15020,2052,51417,3334,755093,31004,146314,229283,1585,346907,15841,1751049,281126,1716081,1608445,107636,4685463
2007:Q2,4646514,16243,2251,57848,3789,822281,35696,162417,243732,1484,378952,17517,1873530,293801,1559254,1448324,110930,4753723
2007:Q3,4714368,13612,1786,47336,3131,815111,29894,160898,238025,1427,384867,19311,1880791,288994,1644296,1527043,117253,4823361
2007:Q4,4782514,13727,1701,46605,3114,842539,30126,148802,216443,1370,445798,27118,1839262,264712,1743736,1629817,113919,4893701
2008:Q1,4851121,15730,1877,52416,3539,835055,34685,146695,209852,1313,442510,25599,1737432,238139,1941334,1830740,110594,4959805
2008:Q2,4915947,15709,1774,51157,3491,833388,34659,142011,199394,1256,456068,17114,1769649,218780,2004885,1896219,108666,5026608
2008:Q3,4990338,15462,1438,43886,3027,770520,30445,140704,182566,1184,415621,15501,1602673,201043,2336788,2235736,101052,5094841
2008:Q4,5069700,19307,1563,49812,3474,732359,35391,143751,171851,1112,380254,13181,1299132,167904,2782968,2695341,87627,5163787
2009:Q1,5120162,21909,1549,51675,3645,689698,37607,144548,157976,1040,348527,12716,1219961,150532,2968477,2890016,78461,5212131
2009:Q2,5162316,21968,1247,45527,3248,711949,33944,148094,147962,967,380982,11964,1299017,145291,2922105,2845940,76165,5261609
2009:Q3,5207877,24171,1241,47062,3397,734152,35953,147530,146439,1137,403093,11988,1502218,154396,2729252,2654202,75050,5311964
2009:Q4,5257516,23633,1079,42989,3140,735603,33658,148707,146655,1307,405276,11273,1574956,163838,2701005,2617191,83814,5362184
2010:Q1,5368857,24218,980,41241,3049,753104,33098,155670,152653,1476,410207,11584,1616577,166675,2751429,2665606,85823,5471919
2010:Q2,5487331,25344,913,40590,3039,754333,33399,155945,151968,1646,411375,11787,1491813,160968,2998544,2910627,87917,5581861
2010:Q3,5591088,22747,750,39535,2997,764342,33360,151059,144394,1783,433746,12079,1619569,163555,2965514,2877073,88441,5691886
2010:Q4,5694723,23828,720,44244,3398,765146,38293,153738,144191,1921,427003,11416,1722987,172773,2950211,2854805,95406,5801220
2011:Q1,5735732,26194,736,50809,3954,773772,45118,157095,144649,2058,424852,11106,1772348,180303,2916510,2813841,102669,5846507
2011:Q2,5779387,26456,677,53982,4258,786985,49193,166981,151470,2196,417145,11247,1766572,181104,2948106,2841471,106635,5891872
2011:Q3,5832258,25234,839,48106,3795,728387,43838,152056,123686,1864,406943,13470,1625858,106940,3279629,3170686,108943,5937391
2011:Q4,5871590,23884,998,41967,3311,720796,38244,142217,100515,1532,438288,12678,1735762,90400,3241794,3131852,109942,5982460
2012:Q1,5910089,25982,1245,42866,3381,791166,39063,181555,121954,1200,447394,11143,1938328,55443,3040535,2937955,102580,6029635
2012:Q2,5956386,27367,1473,42307,3337,806507,38553,191115,116380,868,459591,10542,1881620,38342,3144891,3036748,108143,6076332
2012:Q3,6000153,28894,1990,44189,3486,802965,40268,182197,106818,1224,472458,10314,1935270,53810,3119235,3007900,111335,6123091
2012:Q4,6044382,29821,2475,45142,3561,813060,41137,185479,104685,1579,480180,10414,1962660,67305,3109944,3000985,108959,6169118
