1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q1,2595,-12668,5218,-4938,-135,-27111,-498,-11631,-12341,-19,332,50,508,116,126,0,-753,-282,-903,-1815,42229
1984:Q2,-43873,-27376,-21617,3853,-4353,-6481,128,-5053,3250,-19,8,-877,-1011,82,350,0,190,-509,-1082,-1938,12101
1984:Q3,-8597,-2168,-19044,-1511,-1524,11315,136,16891,1999,-19,-15,-1525,-1334,270,217,0,-1027,-447,-1948,-1883,4335
1984:Q4,-27703,-22939,-24606,9951,-6129,5920,352,8195,-894,-20,-6,-638,3198,439,278,0,-1191,-80,-1803,-1911,10102
1985:Q1,-3249,-49635,38713,-2379,-946,-7949,-1289,-2469,6686,-21,-57,-2899,-4090,552,109,0,-892,293,-1800,-2074,18948
1985:Q2,9986,11533,21997,-3478,-15578,-1955,-214,763,3215,-22,-102,493,-2639,168,-138,0,-951,589,-1059,-2060,-2532
1985:Q3,28492,11148,8418,3310,6315,-6006,-592,2088,1380,-22,-104,316,-5000,289,619,0,-889,693,-2835,-1950,5307
1985:Q4,358,-21857,16601,21377,-9510,-8641,369,11170,-16293,-22,-143,1799,-1980,103,1877,0,-1098,-545,-1912,-1965,2389
1986:Q1,-44799,-61798,5460,4984,-1378,-2163,-1074,6791,2670,-37,-164,-3072,-1639,964,630,0,-2804,550,-3016,-1961,10096
1986:Q2,-55966,-25115,-14910,3658,-6523,-12253,-966,7662,-7504,-29,-222,-2141,-2915,740,141,0,-3586,317,-2019,-1733,-823
1986:Q3,-32610,-24589,-12750,1408,1390,-15069,-478,-4754,2346,-29,-375,-1891,-6449,1222,-414,0,-159,-206,-2241,-1643,16999
1986:Q4,-96734,-93145,-5532,16295,-19451,-1724,13,-9930,2839,-29,-357,3683,744,1059,87,0,1745,1779,-1750,-1605,6824
1987:Q1,-22009,-29649,23012,-347,-2338,-15893,-1238,-1333,-4326,-1,-269,-1499,-317,-946,-24,0,-3280,-74,-948,-1639,3206
1987:Q2,-52867,-20681,5288,-18069,-10615,-17547,-508,-12165,2285,4,-189,-914,-2185,-1457,-119,0,-39,94,-669,-1687,8757
1987:Q3,-48916,-56724,3449,-579,7628,206,-306,2231,8441,3,-208,-2061,-1932,-1700,414,0,-2343,484,-1161,-1656,-2896
1987:Q4,-49243,-40221,-30568,21360,-11170,45,-322,8181,-378,0,-108,1000,-7146,-1847,225,0,-141,-115,2324,-1630,11311
1988:Q1,-35935,-66353,30628,5911,8739,-5605,-486,5031,367,-19,-252,-3545,-848,-1245,-404,0,-1013,1264,-2823,-1632,-9254
1988:Q2,-22396,-15141,6459,-2010,-4477,604,435,8732,3511,-21,-219,-3965,1149,-1163,142,0,-3105,475,-3731,-1636,-7831
1988:Q3,-30463,-44484,-3098,6451,7549,-21138,-349,-2463,-2939,-24,-222,-4337,-3105,-1029,684,0,-5363,414,-831,-1575,24258
